asset;date;open;high;low;close;business;volume
WDOFUT;06/11/2020;5760,09;5820,61;5596,26;5603,56;2,189239686E11;3985269
WDOFUT;05/11/2020;5859,22;5880,61;5766,35;5770,00;1,945838928E11;3491681
WDOFUT;04/11/2020;6018,87;6018,87;5894,18;5902,52;1,984028598E11;3484821
WDOFUT;03/11/2020;5953,13;6023,05;5899,91;6011,57;1,838456533E11;3216402
WDOFUT;30/10/2020;6033,48;6066,87;5977,66;6013,66;1,770812973E11;3068673
WDOFUT;29/10/2020;6033,48;6040,78;5991,76;6032,44;1,802671304E11;3122707
WDOFUT;28/10/2020;5979,77;6041,83;5947,96;5995,94;2,507688399E11;4367433
WDOFUT;27/10/2020;5851,49;5957,87;5841,06;5954,74;1,616777511E11;2860477
WDOFUT;26/10/2020;5889,03;5907,81;5853,05;5866,09;1,610606895E11;2859229
WDOFUT;23/10/2020;5815,50;5878,60;5806,12;5862,96;1,472129843E11;2624839
WDOFUT;22/10/2020;5857,22;5869,74;5802,99;5841,58;1,734477901E11;3101563
WDOFUT;21/10/2020;5842,10;5871,82;5811,85;5850,96;1,884878541E11;3365846
WDOFUT;20/10/2020;5847,84;5870,78;5788,39;5850,44;1,820055461E11;3257250
WDOFUT;19/10/2020;5863,48;5879,12;5808,20;5852,01;1,755536121E11;3133083
WDOFUT;16/10/2020;5850,96;5899,98;5841,06;5890,08;1,490128447E11;2645893
WDOFUT;15/10/2020;5874,95;5893,73;5832,19;5857,22;1,715294471E11;3052856
WDOFUT;14/10/2020;5835,84;5848,88;5775,87;5837,41;1,585060831E11;2843235
WDOFUT;13/10/2020;5764,92;5871,30;5760,75;5804,55;1,920716031E11;3441277
WDOFUT;09/10/2020;5824,89;5827,50;5751,36;5780,04;1,604289822E11;2893577
WDOFUT;08/10/2020;5835,84;5894,25;5821,24;5845,23;1,907223453E11;3397189
WDOFUT;07/10/2020;5804,03;5886,43;5793,60;5856,18;2,29818959E11;4102249
WDOFUT;06/10/2020;5781,09;5863,48;5723,20;5835,84;2,290464531E11;4128407
WDOFUT;05/10/2020;5903,11;5926,06;5794,65;5819,68;1,881260111E11;3347347
WDOFUT;02/10/2020;5903,63;5942,22;5852,53;5934,92;2,052653839E11;3631592
WDOFUT;01/10/2020;5817,59;5912,50;5817,07;5889,03;1,7422617E11;3088132
WDOFUT;30/09/2020;5873,91;5913,54;5830,63;5857,22;1,953507015E11;3465852
WDOFUT;29/09/2020;5888,51;5922,93;5846,27;5877,04;2,16993347E11;3846381
WDOFUT;28/09/2020;5757,10;5918,24;5755,53;5902,59;2,08573659E11;3723035
WDOFUT;25/09/2020;5779,52;5828,54;5772,74;5800,90;1,789345075E11;3216900
WDOFUT;24/09/2020;5830,63;5866,09;5729,98;5745,63;2,206256758E11;3968269
WDOFUT;23/09/2020;5745,11;5840,01;5725,81;5834,80;1,888300206E11;3408856
WDOFUT;22/09/2020;5659,58;5733,11;5614,74;5707,04;2,166931364E11;3984480
WDOFUT;21/09/2020;5686,18;5734,68;5620,47;5651,24;2,143664166E11;3942620
WDOFUT;18/09/2020;5480,20;5632,99;5470,81;5623,08;1,816970688E11;3417401
WDOFUT;17/09/2020;5496,36;5520,35;5453,60;5464,55;1,556364737E11;2958860
WDOFUT;16/09/2020;5476,54;5502,62;5436,91;5465,07;1,710913033E11;3260820
WDOFUT;15/09/2020;5464,55;5531,30;5447,34;5504,70;1,683453184E11;3193804
WDOFUT;14/09/2020;5535,99;5555,29;5491,67;5499,49;1,44147502E11;2720813
WDOFUT;11/09/2020;5525,04;5582,93;5489,06;5549,03;1,594843459E11;3007280
WDOFUT;10/09/2020;5534,95;5565,20;5498,97;5553,72;1,747550335E11;3295964
WDOFUT;09/09/2020;5575,63;5576,15;5508,88;5540,69;1,443272183E11;2720470
WDOFUT;08/09/2020;5594,40;5646,02;5547,99;5596,48;1,703295766E11;3171907
WDOFUT;04/09/2020;5535,47;5561,55;5476,54;5530,78;1,720257983E11;3248421
WDOFUT;03/09/2020;5605,87;5611,09;5504,18;5525,56;1,933424877E11;3637859
WDOFUT;02/09/2020;5649,68;5669,49;5575,63;5576,15;1,836053076E11;3414163
WDOFUT;01/09/2020;5686,70;5694,52;5569,89;5639,77;1,950421245E11;3619544
WDOFUT;31/08/2020;5648,11;5736,24;5639,25;5734,15;1,400507265E11;2561348
WDOFUT;28/08/2020;5757,17;5767,61;5620,99;5625,17;1,797840075E11;3294361
WDOFUT;27/08/2020;5842,22;5867,27;5786,39;5814,05;1,942549568E11;3477424
WDOFUT;26/08/2020;5771,78;5879,79;5766,56;5856,31;1,889000105E11;3385664
WDOFUT;25/08/2020;5828,13;5859,44;5746,22;5749,87;1,801399016E11;3232194
WDOFUT;24/08/2020;5823,44;5861,53;5802,57;5860,48;1,463541402E11;2615989
WDOFUT;21/08/2020;5806,74;5880,31;5799,44;5869,87;1,690984106E11;3017291
WDOFUT;20/08/2020;5859,44;5921,53;5781,70;5804,65;2,28755531E11;4070533
